INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (1, 37, '2023-01-13 12:56:02', '2023-10-19 05:43:31');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (27, 1, '2023-11-28 14:08:43', '2023-12-06 12:31:30');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (27, 18, '2023-12-22 06:37:22', '2023-12-22 10:35:41');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (27, 9, '2023-12-22 12:40:07', '2023-12-22 12:40:17');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (28, 7, '2023-09-04 04:34:15', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (29, 49, '2022-09-22 19:45:57', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (30, 4, '2023-12-19 05:53:26', '2023-12-19 08:34:02');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (31, 45, '2023-10-19 06:21:39', '2023-12-03 21:18:02');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (31, 43, '2023-12-04 22:04:57', '2023-12-22 14:10:16');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (33, 47, '2021-08-01 21:01:34', '2022-03-02 17:39:59');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (34, 35, '2022-03-20 22:24:11', '2022-12-15 20:49:16');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (34, 18, '2023-12-15 10:49:51', '2023-12-17 15:05:55');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (34, 2, '2023-12-19 15:15:42', '2023-12-20 14:03:35');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (35, 8, '2023-07-01 08:31:39', '2023-08-19 12:53:51');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (35, 15, '2023-10-23 09:24:57', '2023-12-22 02:22:35');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (35, 1, '2023-12-22 03:27:24', '2023-12-22 05:13:04');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (37, 43, '2023-07-21 05:14:40', '2023-10-23 00:56:58');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (37, 36, '2023-10-30 14:01:29', '2023-12-19 03:45:22');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (39, 37, '2022-11-22 13:44:35', '2023-04-24 16:10:24');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (40, 41, '2023-10-19 19:18:34', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (41, 38, '2023-11-12 03:45:12', '2023-12-03 00:59:07');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (41, 37, '2023-12-18 12:02:15', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (43, 36, '2021-08-27 03:01:06', '2022-01-20 01:54:50');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (43, 28, '2023-11-20 16:33:48', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (44, 26, '2022-11-05 07:38:10', '2023-11-02 08:40:18');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (44, 6, '2023-11-07 21:21:01', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (45, 10, '2023-09-28 20:14:58', '2023-10-27 02:57:52');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (45, 1, '2023-12-02 14:13:33', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (46, 23, '2022-12-28 20:27:57', '2023-06-30 11:59:52');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (46, 4, '2023-12-14 06:09:20', '2023-12-14 14:47:13');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (46, 2, '2023-12-15 20:02:08', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (47, 25, '2023-12-21 00:12:42', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (48, 31, '2022-03-18 06:00:17', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (49, 48, '2023-10-08 03:38:43', '2023-12-13 20:11:47');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (49, 46, '2023-12-20 04:56:44', '2023-12-21 18:19:07');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (49, 39, '2023-12-22 10:21:53', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (51, 1, '2023-10-21 09:16:43', '2023-12-19 17:23:27');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (51, 45, '2023-12-22 05:53:20', '2023-12-22 14:36:12');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (51, 48, '2023-12-22 14:47:48', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (52, 26, '2023-05-20 04:54:33', '2023-05-30 18:38:29');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (53, 46, '2021-06-04 08:48:25', '2022-09-19 13:22:52');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (54, 34, '2023-06-14 03:59:13', '2023-12-08 04:15:35');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (54, 17, '2023-12-10 19:09:20', '2023-12-20 00:33:25');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (55, 21, '2023-10-31 18:18:08', '2023-11-09 02:15:32');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (55, 9, '2023-12-09 10:13:41', '2023-12-12 10:11:58');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (55, 35, '2023-12-18 07:01:40', '2023-12-20 01:00:34');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (56, 13, '2022-01-18 08:37:09', '2022-11-05 17:40:53');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (56, 34, '2023-05-12 04:03:55', '2023-06-08 02:39:44');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (56, 31, '2023-07-01 03:32:13', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (59, 31, '2020-07-30 10:13:06', '2021-03-08 19:29:49');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (60, 5, '2023-02-25 11:49:18', '2023-05-15 03:53:33');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (60, 26, '2023-07-27 10:36:36', '2023-10-21 06:19:28');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (61, 28, '2022-02-05 20:23:35', '2023-07-16 18:12:52');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (61, 21, '2023-10-07 23:36:33', '2023-11-22 19:40:42');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (61, 33, '2023-12-07 07:00:04', '2023-12-15 11:28:09');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (62, 11, '2023-07-30 14:00:25', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (63, 34, '2022-06-24 01:22:10', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (64, 10, '2023-09-26 02:15:59', '2023-11-14 22:33:35');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (64, 28, '2023-12-19 02:10:12', '2023-12-21 04:12:27');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (64, 3, '2023-12-21 15:16:35', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (65, 4, '2023-12-18 21:52:31', '2023-12-21 08:51:07');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (65, 45, '2023-12-21 21:19:09', '2023-12-22 08:42:12');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (65, 47, '2023-12-22 13:12:39', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (69, 26, '2023-02-18 18:10:44', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (70, 16, '2021-08-07 21:58:38', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (71, 37, '2022-11-17 17:45:20', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (72, 20, '2022-07-25 04:55:06', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (73, 8, '2023-12-17 17:31:39', '2023-12-19 11:53:49');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (73, 20, '2023-12-19 12:17:03', '2023-12-19 15:28:06');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (73, 20, '2023-12-21 08:31:55', '2023-12-21 21:30:42');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (74, 8, '2023-08-14 00:46:39', '2023-10-31 09:23:09');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (74, 29, '2023-11-28 08:12:54', '2023-12-19 04:02:16');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (75, 29, '2023-11-30 01:53:44', '2023-12-17 23:04:59');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (75, 25, '2023-12-19 14:48:48', '2023-12-20 08:17:20');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (75, 11, '2023-12-20 15:47:19', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (76, 47, '2022-08-28 09:16:03', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (77, 17, '2023-11-16 08:05:18', '2023-12-16 12:04:52');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (77, 10, '2023-12-22 14:45:33', '2023-12-22 15:59:39');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (77, 21, '2023-12-22 16:00:31', '2023-12-22 16:00:34');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (78, 10, '2022-11-12 23:44:59', '2023-06-29 23:11:48');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (78, 47, '2023-08-10 01:51:53', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (80, 4, '2023-12-08 05:18:39', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (81, 11, '2023-08-04 05:37:42', '2023-10-21 19:17:56');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (81, 48, '2023-11-05 13:49:41', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (82, 47, '2023-10-22 18:59:05', '2023-11-01 10:09:53');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (84, 41, '2023-08-22 18:55:50', '2023-09-21 17:57:11');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (84, 44, '2023-10-06 17:18:08', '2023-10-31 01:06:39');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (84, 42, '2023-11-20 04:02:00', '2023-11-20 13:56:55');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (86, 24, '2023-05-04 00:21:00', '2023-12-12 03:21:20');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (86, 50, '2023-12-15 22:22:11', '2023-12-17 05:15:37');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (87, 7, '2023-11-11 17:35:07', '2023-11-25 16:48:50');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (87, 10, '2023-12-03 17:51:11', '2023-12-18 12:57:50');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (87, 35, '2023-12-18 22:27:49', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (88, 14, '2022-04-27 20:01:17', '2022-07-12 15:40:02');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (88, 21, '2023-05-24 10:08:58', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (89, 4, '2023-12-10 21:25:45', '2023-12-18 13:17:55');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (90, 19, '2021-02-01 09:38:34', '2022-02-08 15:04:12');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (90, 47, '2023-09-21 11:43:54', '2023-11-09 00:58:32');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (90, 44, '2023-12-04 01:19:46', '2023-12-18 13:00:05');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (91, 46, '2021-12-22 13:04:19', '2023-11-16 13:42:29');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (91, 13, '2023-11-27 03:58:22', '2023-12-15 01:37:31');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (92, 36, '2022-12-30 10:01:35', '2023-11-11 23:16:53');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (92, 32, '2023-11-29 22:53:48', '2023-12-01 02:38:14');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (95, 33, '2021-08-21 14:38:23', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (98, 23, '2023-05-15 11:51:00', '2023-08-06 10:56:30');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (98, 37, '2023-11-28 17:39:58', '2023-12-04 07:33:24');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (98, 5, '2023-12-11 13:49:29', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (99, 29, '2023-12-13 05:40:00', '2023-12-16 21:09:03');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (99, 24, '2023-12-17 19:05:32', '2023-12-19 04:20:50');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (99, 16, '2023-12-19 23:34:36', '2023-12-20 16:56:11');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (100, 30, '2021-11-09 13:34:46', '2022-08-19 09:46:07');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (100, 45, '2023-08-11 22:05:20', '2023-10-21 14:36:25');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (100, 16, '2023-11-28 09:07:46', '2023-12-12 23:28:59');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (101, 21, '2022-10-07 19:23:06', '2022-12-01 03:02:44');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (102, 31, '2021-07-04 05:54:30', '2022-02-23 14:08:12');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (102, 44, '2022-04-15 03:46:00', '2023-08-03 10:24:23');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (102, 14, '2023-10-25 00:09:09', '2023-12-19 15:57:55');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (103, 21, '2021-07-31 14:16:42', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (105, 44, '2021-10-25 15:18:50', '2023-05-25 07:12:18');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (105, 21, '2023-12-02 14:28:27', '2023-12-16 08:35:37');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (105, 41, '2023-12-19 22:55:57', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (107, 37, '2022-04-13 07:22:35', '2022-12-14 07:28:55');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (107, 45, '2023-09-17 05:32:29', '2023-11-30 17:04:04');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (107, 12, '2023-12-19 13:18:32', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (108, 38, '2023-11-22 22:22:50', '2023-11-29 04:11:31');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (109, 21, '2021-06-19 20:28:06', '2023-07-01 01:28:57');
